2 States,Romance,104
Table No. 21,Thriller ,12
Amit Sahni Ki List,Comedy,4
Rajdhani Express, Drama ,0.35
Bobby Jasoos,Comedy,10.8
Citylights, Drama ,35
Daawat-E-Ishq,Comedy,24.6
Matru Ki Bijlee Ka Mandola,Comedy,40
Dedh Ishqiya,Comedy,27
Gangoobai, Drama ,0.01
Dishkiyaoon,Action ,6
Inkaar,Romance,10.25
Ek Villain,Romance,105.5
Mumbai Mirror,Action ,1.8
Entertainment,Comedy,163
Bandook,Action,0.09
Race 2,Thriller ,162
Filmistaan,Comedy,6
Finding Fanny,Comedy,58.9
Fugly,Comedy,12.6
David,Thriller ,3.65
Gulaab Gang,Action ,14.3
Gunday,Action,76.7
Haider, Drama ,69
Happy Ending,Romance,21.5
Special 26, Drama ,103
Happy New Year, Drama ,383
ABCD _ Any Body Can Dance, Drama ,44
Hate Story 2,Thriller,27.16
Hawaa Hawaai, Drama ,10
Heartless,Thriller,1.5
Murder 3,Thriller,25
Heropanti,Romance,65
Kai Po Che!, Drama ,62.2
Highway, Drama ,27.25
Zilla Ghaziabad,Action,16
Holiday,Action,129
Humpty Sharma Ki Dulhania,Romance,130
The Attacks of 26/11,Thriller,32
Humshakals,Comedy,63.7
"Saheb, Biwi Aur Gangster Returns", Drama ,22
Jai Ho,Action,111
Khoobsurat,Romance,39.4
Kick,Action,377
3G,Thriller,5.82
Kill Dil,Romance,36
Mere Dad Ki Maruti,Comedy,11
Jolly LLB,Comedy,32.7
Koyelaanchal,Action,2
Kya Dilli Kya Lahore, Drama ,0.5
Lekar Hum Deewana Dil,Romance,2.5
Aatma,Thriller,8.78
Main Tera Hero,Comedy,55
Sona Spa,Thriller,0.24
Himmatwala,Action,100
Manjunath, Drama ,1.75
Mardaani, Drama ,36
Chashme Baddoor,Comedy,42
Mary Kom, Drama ,104
Nautanki Saala,Comedy,21.5
Mastram,Comedy,3
Commando-A One Man Army,Action,21
Ek Thi Daayan,Thriller,45
Miss Lovely, Drama ,0.7
Aashiqui 2,Romance,110
O Teri,Comedy,3.75
One by Two,Romance,2.5
Purani Jeans,Romance,1.1
Shootout at Wadala,Thriller,75
Queen, Drama ,61
Bombay Talkies, Drama ,14.3
Ragini MMS 2,Thriller,50
Go Goa Gone,Comedy,28.2
Raja Natwarlal,Thriller,29.6
Revolver Rani, Drama ,10
Shaadi Ke Side Effects,Comedy,37.8
Aurangzeb, Drama ,23
Sholay 3D,Action,11
Singham Returns,Action,200
The Shaukeens,Comedy,32.5
Ishkq in Paris,Romance,2.13
Ungli, Drama ,13.8
Yeh Jawaani Hai Deewani,Romance,311
Yaariyan,Romance,40
Yamla Pagla Deewana 2,Comedy,55
Yeh Hai Bakrapur,Comedy,2
Youngistaan, Drama ,6.75
Fukrey,Comedy,36.2
Zid,Thriller,14.05
PK, Drama ,735
Raanjhanaa,Romance,100
Action Jackson,Action,57.45
Bang Bang,Action,340
Shortcut Romeo,Thriller,2.58
Creature,Thriller,20
Ghanchakkar,Comedy,38
Besharam,Comedy,35
Lootera,Romance,28
Pizza 3D,Thriller,4.35
The Xpose,Thriller,29
Policegiri,Action,16.8
Bhaag Milkha Bhaag, Drama ,164
Kaanchi, Drama ,4
Samrat and Co.,Thriller,2
B.A. Pass, Drama ,5.9
Ramaiya Vastavaiya,Romance,30
Bewakoofiyan,Romance,14
D Day,Action,24
Darr@ The Mall,Thriller,4.5
Issaq,Romance,5
Hasee To Phansee,Romance,35.5
Bajatey Raho,Comedy,10
Mr Joe B Carvalho,Comedy,4
Nasha,Thriller,8
Bhootnath Returns,Thriller,53
Chennai Express,Comedy,395
Once Upon Ay Time In Mumbai Dobaara!,Thriller,80
Madras Cafe,Thriller,42.7
Satyagraha, Drama ,60
Krrish 3,Action,300
Total Siyappa, Drama ,12
Satya 2,Thriller,1.1
Rajjo,Romance,2
Gori Tere Pyaar Mein,Romance,12.65
Bullett Raja,Comedy,40
War Chhod Na Yaar,Comedy,7.5
Baat Ban Gayi,Comedy,1.5
Boss, Drama ,45
Shahid, Drama ,40
Mickey Virus,Comedy,6
Zanjeer,Action,18.2
Shuddh Desi Romance,Romance,55
Grand Masti,Comedy,298
Children Of War, Drama ,22
Phata Poster Nikla Hero, Drama ,34
The Lunchbox, Drama ,85
Tevar,Action,56
Alone,Thriller,25
Baby,Action,125
Hawaizaada, Drama ,30.25
Khamoshiyan,Thriller,14.02
Shamitabh, Drama ,38
Roy,Romance,58
Badlapur,Action,77
Dum Laga Ke Haisha,Comedy,30
NH10,Thriller,32.1
Dilliwali Zaalim Girlfriend,Comedy,12
Hunterrr,Comedy,11.89
Kochadaiiyaan,Action,120
